sitetype,lat,lon,zip,plus4
Gated_w/_Building,47.67137645,-121.86219469,98014,6505
Gated_w/_Building,47.66290505,-121.87427357,98014,7012
Gated_w/_Building,47.40185883,-122.12878389,98042,3711
Gated_w/_Building,47.67674799,-121.95525515,98014,
Gated_w/_Building,47.68593605,-121.95621054,98014,8801
Gated_w/_Building,47.68139012,-121.94628948,98014,8800
Gated_w/_Building,47.68652958,-121.92115011,98014,
Gated_w/_Building,47.68407571,-121.90233087,98014,
Gated_w/_Building,47.68590548,-121.90282378,98014,
Gated_w/_Building,47.67984313,-121.87815323,98014,6868
Gated_w/_Building,47.68459582,-121.98005332,98014,9368
Cemetery,47.68080273,-122.32547083,98115,5335
Cemetery,47.37127101,-122.21825396,98030,6212
Cemetery,47.40292119,-122.22654749,98031,1936
Cemetery,47.70835293,-122.34287469,98133,8923
Cemetery,47.75153696,-122.35562195,98133,5265
Cemetery,47.61733141,-122.32055113,98122,2414
Cemetery,47.53024026,-122.0275792,98027,3437
Cemetery,47.69258125,-122.3688586,98117,3314
Cemetery,47.35759254,-122.13446201,98042,4304
Cemetery,47.50674954,-122.35467242,98146,2099
Cemetery,47.52971586,-122.02732981,98027,3438
Cemetery,47.64720103,-122.36499916,98119,1827
Cemetery,47.52977123,-122.04539865,98027,
Cemetery,47.2640546,-122.33396988,98003,7449
Cemetery,47.71277508,-122.34094737,98133,
Cemetery,47.71103945,-122.34425549,98133,
Cemetery,47.70945586,-122.34563108,98133,8299
Cemetery,47.45559213,-122.29417871,98188,3153
Cemetery,47.54203324,-122.3660829,98126,
Cemetery,47.64381795,-122.36426777,98119,2210
Cemetery,47.64350694,-122.36431938,98119,2299
Cemetery,47.54744153,-122.30549976,98108,
Cemetery,47.52252634,-122.27055298,98118,5024
Cemetery,47.63442003,-122.31422005,98112,
Cemetery,47.29675776,-122.19271003,98092,6477
Cemetery,47.65199523,-122.35183317,98103,8614
